Comment,Class
"Chinese were seriously disliked around the world before the virus. Have you ever heard anyone say anything positive about Chinese tourists, many say they are badly behaved, have no social etiquette and very poor hygiene. Or look at countries where no one can afford to buy a house because the Chinese have pushed the prices out of reach of most or the ones clearing shelves of baby formula leaving families unable to feed their infants. I hate to say they brought this all on themselves but allowing China to enter the Global Market has been a disaster for all concerned, the virus was just the last straw.",no_hate_speech
"Well, science education in the USA is evidently very poor among the majority.   LOL 19:19",no_hate_speech
"The issue is not China, the issue are the appalling food preparation practices in China",no_hate_speech
"Mean people are everywhere, good people too. Who cares the color of skin?",no_hate_speech
Remember being black during Ebola outbreak?,no_hate_speech
Telling the truth is not racism!! Making comments on someones looks is!,no_hate_speech
Meanwhile somewhere in the U.S someone profits from the stocks they sold in January hmmm I wonder who?!,no_hate_speech
Thank you for people who stand up to asians I appreciate it :D,no_hate_speech
How do you feel now that it is a pandemic?,no_hate_speech
I really don’t understand about hateful.. I’m from Cambodia they think all Asian are Chinesse now I have to be careful every where I go now .. I have to be prepared before I get kill by those hateful people... god will bless us Asian 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,no_hate_speech
Eat dog.. Simple,no_hate_speech
Asians don't deserve this but neither do Black people shopping in Asian businesses! Think about it.,no_hate_speech
"ALL racism is wrong.  Blaming all Asians for the virus is not just racism but stupidity.
AND racism against white people and/or America is wrong as well.
 Some Chinese with the C-Virus purposely trying to spread the virus (many caught on camera) is not only racist, but terrorism and an attack on America, and the world.
This is World War V",no_hate_speech
Racism has been around even before this coronavirus outbreak. So I don't know why is this even surprising at all?,no_hate_speech
"how is this video aging now?. Hug me, don't be racist. look at what's happening now. You most be very proud.",no_hate_speech
I can only imagine what African Americans deal with on a daily basis .,no_hate_speech
"china lying & killing the world. and now acting like ccp is here to save the world.
and these weak insecure haters are just being themselves with excuse to express hate. 
lol only prey on the weak & old!!!! same as the rich haters like trump & sly cronies.",no_hate_speech
Bats carry multiple viruses so it’s only logical that if they eat bats they created the Wuhan Bat Virus,no_hate_speech
Its true Asians do have poor hygiene and the parents tell their children not to adapt American values as if Asian values are superior.,no_hate_speech
"CoronaVirus is Made in China ,😷",no_hate_speech
There will always be scapegoats with abuse of power or psychopaths in power! They want power over others doesn’t matter your ethnic background! There is no such thing as race only bio- mutations! We are the human race! So stop using a stupid word called race! The word race has no scientific or biological basis! But many humans are not humans they are psychopaths that need to control everything! That’s the real label and focus of the problem not race! Bless you human’s! 🙄,no_hate_speech
CCP ( CHINESE COMMUNIST PARTY) is the real virus,no_hate_speech
This is a man made virus,no_hate_speech
"The guy attacking the Chinese woman in the subway was black, black people cannot be racist, so it's not racism.",no_hate_speech
"CCP virus,",no_hate_speech
"I am Chinese and I would discriminate against myself. CCP has proven to be the worst THUGS on earth. We all look the same. Can't blame them. Blame our own. How did we allow the worst monster to become a super power? I am ashamed of my own race!!! I can only say ""I AM SORRY"". The rest of us is not the same.",no_hate_speech
"I know this is a month old, but if you go around and look at all of the articles about the Chinese expats that went from town to town, country to country worldwide and took every  n90 five mask from every nurse and doctor in our country. So that they couldn't treat us. You really can't get on here and talk to me about xenophobia concerning Chinese.",no_hate_speech
"Why don't you also report the discrimation of every foreign people actually in China and the cruel discrimination policy that the Chinese Government is applying within China. Non chinese people aren't allowed to access to a lot of public spaces such as malls and restaurants just because they are NON chinese despite the correct quaratine period procedure that applies to all people coming to China from foreing countries and despite the QR code application that shows the foreign person has not the virus or has not been in contact with the virus, so no risk of contagion.
RACISM is bad always, not only when is perpetrated by Western countries against asian people but also when chinese people do the same against foreigners.",no_hate_speech
"Lol the guy in the subway: the chinese? Theu have no hygiene.
But the guy saying it has very very very healthy fat body",no_hate_speech
This sounds just like the Black narrative on racist. If this was an audio interview. I would have thought they were Black.,no_hate_speech
As a Black person I’m laughing 😂. Chinese can’t deal with Two weeks of discrimination !!,no_hate_speech
Asians in Africa is the most racist people. Meanwhile they leave their countries en Masse to Africa. They can’t even deal with two weeks of discrimination !!,no_hate_speech
If you dont like a country it doesent mean you are a racist . But abusing them and cursing them makes you a racist,no_hate_speech
People are really going batshit out of their minds out there.  Even normal functioning people are losing their mind.,no_hate_speech
Chinese are the most racist,no_hate_speech
They love putting English speaking Asians to explain to fit their narrative. Let’s be real let’s all be distant but extra cautious w Asians.,no_hate_speech
"It’s all psychological some species of animals will shun others who may be sick or infected, it’s only natural for people to react like this, different people react to fear in different ways. It’s not okay but there is a lot of fear and anger it has to go towards something.",no_hate_speech
"When blacks talk about racism they're told ""it doesn't exist"" so I think this is all just in everyone's imagination. No-oneis racist to Chinese people/Asians, people are just looking to protect their health. Everyone needs to *calm down* (What's good for the goose is good for the gander).",no_hate_speech
"I am not Chinese but I am a human,and I am very proud of.",no_hate_speech
"Time to fight with virus NOT human. Don’t be so means because you never know the next person will be you or me. Time to show you love and your care .We have to care and pray for this world ,for people be healthy.Even the way you treat me by race like this But if you die because of the virus tomorrow , I still be sad and feel sorrow. We are one off American, this is our second country.We working hard ,raising children become a good members for America.Out there ,they are doctors and nurses....Look deep inside,They work hard in the hospitals to help all kind of people ( race) in the world.Think if some day one of your family sick and get treatment from Asian doctors, How do you think? You will say “ NO don’t I don’t need your help”? Take a moment and think about what you did ... please! I am saying this because my family from a medical and we are working  here in Us.We want everyone be safe.Thanks for reading this ! God love and watching us.",no_hate_speech
Tedros is taking side of China since the bigenning!,no_hate_speech
"Chinese are racist against Africans..
So lets call this KARMA!!!",no_hate_speech
Keep exposing  we are the new scapegoat defend urself if it get physical don’t fear of hate face them keep ur head high and acept there will always racism paper or not citizen or not make history my brother and sisters take of each other we only got ourself family don’t mind word mind ur phone and camera and expose make history until is over or not keep exposing is ur best weapon against racisme don’t ask respect and don’t respect in silence action speak louder,no_hate_speech
i have been to china horrible to blacks .... horrible,no_hate_speech
"Racism resides at the bottom and very top of our society, glad most people in the middle are intelligent and good people. Otherwise we have no hope. Btw imaging Chinese call us: H1n1 2009, H1n1 1918.",no_hate_speech
We are all connected!,no_hate_speech
Racist people will always look for excuses way to lash out pined up internal self.,no_hate_speech
TRY LOOK FOR BIG CHINESE GUY AND SEE YOU DARE TO BE RACIST..THAT IS CAUCASIAN STYLE BULLY THE WEAK...HAHA BALLESS...,no_hate_speech
"Meghalayans also are facing the same problem. main land Indians has more coronavirus cases than our NE India Region have only 2 cases till 31/3. they are the COVID19!!!
with this racism, do you need our helping hands? bye-bye!!!",no_hate_speech
Whenever you see a question in a news headline... the answer is no.,no_hate_speech
Most Chinese people are racist. And extremely disrespectful to the suburbs they stay. They look you up and down. Every suburb they stay it is littered with rubbish and they spit on the ground,no_hate_speech
Covid 19.   MADE IN CHINA ( Wuhan),no_hate_speech
"Not every Asian eat bats guys. And many Asian from the hot climate country. Not only China is asia but including Japan Korea Australia and etc. Which they’ll probably shower more time than European or American. 
We Asian should band American and European people tho. While the virus is spreading you still believe people who’s wearing mask is a spreader. Shameful uneducated.",no_hate_speech
"Seriously,you ever see a Vietnamese or chinese attack someone because they got a Budweiser disease.that never happen.we re all just passing by,cant we all just get along without being beatup on",no_hate_speech
"Homeland of viruses =china,if chinese are banned then there spreading in other countries will be avoided.",no_hate_speech
Maybe next time this racist coward will mistakenly attack Manny Pac Man Pacquiao.🥊,no_hate_speech
China stop eating weird animals how eat bat or snick orrrrrrrrrr rats really !!!!!!!!!!,no_hate_speech
"Talking about the virus: As individual or personnel, professor don't have criticizing or blame against any nation until search done to see of what is really happening.  The Asians have many, many ethnic or groups which God Created at the Asia continental and most are not Chinese. So Please DO NOT OF A MISTAKEN Pick On Someone or beat someone up in error that no ones knows whose they were.  Because shall beat up the wrong people and cause psychological, emotional, and mental pain.",no_hate_speech
"We all reveal who we really are under stress, the covid is here to teach us all a lesson.
The price is too heavy for the people infected.
We need to reaches our way of life and feeding this communist monster, closing our eyes to their human right abuses to it's own citizens, to Tibetans, the uygers in Xinjiang, and benefiting from  the slave labor for cheap goods are record at profits for the last 30 years.",no_hate_speech
"Within China , the first victims of the virus have been chased out, beaten, locked up and taunted.
Just look at doctor lee who tried to tell the other doctors about the virus and how he is treated.
He was killed.
Ccp is the worst virus.
Dismantle this fascist regime that killed over 80 million of it's own people since they are in power",no_hate_speech
"The world health is the root of this widespread, he keeps telling the world that the risk is low. He us obviously working for communist China.
He is criminally responsible for all the deaths.
The Hague should investigate this as crimes against humanity",no_hate_speech
"Yeah, I hate you racists!",no_hate_speech
"I am Japanese.🇯🇵🗾
Japan is a very clean island country. I feel uncomfortable that China and Japan are equated just because of Asia😥 Japanese and Chinese are completely different ethnic groups, and I cannot speak with Chinese. 

If you see Asians, please do not attack the Japanese. The Olympics 2020 in Tokyo, Japan, was severely damaged by the Chinese coronavirus.😓",no_hate_speech
21:45 yeah CCP Xi jinping and Trump,no_hate_speech
This won't be the last virus China will produce,no_hate_speech
"What Americans have a problem with is seeing news programs of dogs hanging in open markets and all the cruelty to animals. I would NEVER go to that country. I won’t even buy anything made in China. The virus apparently came from tainted meat. Because not all, but the Chinese have a rep for eating everything. Deplorable and abominable to other countries. They brought this stigma on themselves.",no_hate_speech
"Sorry but China did cause this pandemic and many Chinese immigrants are promoting the Chinese governments propaganda. Also Chinese workers in Australia called the Greenland group have pillaged shelves in supermarkets and or grocery stores in rural towns in Australia and sent massive supplies to China, literally leaving those towns with a disgusting shortage of supplies. They're not all guilty of this... but a lot of them are. Especially those that walk around promoting the same sentiments that the Chinese government is promoting... This stupid ""it's not China's faults and were in this together"" sentiment.",no_hate_speech
My best friend kept telling me that chinese people are weird I dont know why? She wouldnt usually say something like that,no_hate_speech
Asians are the worst racists I have ever seen!,no_hate_speech
What if it was the USA who is spreading the virus?,no_hate_speech
"Talk about racism??? Chinese are the most racist people in the entire planet. Right now in China foreigners, especially black people are not allow in and shop or public buildings.",no_hate_speech
Mainland India racist northeast people of India due to mongoloi feature.,no_hate_speech
"If the virus started in Europe I don't think people of colour would be attacking and scape goating white people, and I doubt whites would be fighting each other.",no_hate_speech
"That's the big racist reality for the doctor, the lumping together of all east Asians? That is not racism. Ignorance perhaps but racism? Please. With all of the success he obviously enjoys as an American, he still wants to wallow in his fake victimhood? That is beyond pathetic and goes for every other objectionable whiner in this video, the host most especially.",no_hate_speech
But we have to remember what's goes around comes around God is not at sleep do good and better will come one day? please please please we are all the same no body is better than,no_hate_speech
Just like the way we face in Europe us Asians black people face. am staying in Italy  5 years now what i see i never seen that in my life racism is something stupid? This sickness people have to pay for everybody is this but not saying something stupid like racism May God bless everybody and forgiven use,no_hate_speech
"BLACKS HAVE BEEN TREATED LIKE THIS AND MORE, FOR OVER 200 YEARS IN THE AMERIKKKA. WHAT CAN WE DO TO STOP THE POLICE KILLINGS OF BLACK MEN AND CHILDREN.? WHAT CAN WE DO TO STOP THE DISCRIMINATION TO BLACKS .? LET'S START THERE AND THEN WE WILL CONTINUE  WITH THE PLIGHT OF THE CHINESE OVER THE LAST MONTH.",no_hate_speech
STOP EATING BATS.,no_hate_speech
This is not fair some people are born in violence  so those people is big 🦠 government should taking cere firs,no_hate_speech
The coronavirus is from a bat not asian people,no_hate_speech
Trump is to blame for the stupidity and racism,no_hate_speech
"As a black. Person I always heard they was very smart 
.",no_hate_speech
This is laughable this video is already old and out dated this virus came from Chinese wet market and was passed on to humans just like sars btw Chinese people are some of the most racist towards others it goes both ways,no_hate_speech
"There's racism and ignorance everywhere in the world. My prayers for the Chinese, Asian people and all the victims in the world.",no_hate_speech
"Here is my thought. I love China before this. My favorite food was from China. NOW! My view has changed. Ask any of this Chinese panel if they have signed a petition to ban live exotic animal market or free speech in China that would have warned the world much sooner. I can bet you none of them did anything of this two mentioned items. So now ask me and the world who’s fault it is for this pandemic? Unless the Chinese people rise and demonstrate against this acts, you will be held responsible and racism will be towards you. So do something rather than defend your ethnic background.",no_hate_speech
Yes. racism im a so called blackman and we see it all the time.. Most of my life. Even ftom the Asian community. ..,no_hate_speech
This happened everywhere when people are narrow minded even in India people in the main land of India so much discriminate against the people from Northwestern states just because they are different from them,no_hate_speech
"The minority population and the marginalized will always be demonized in America. It's the American way!!!SHAME!!!🤔🤔😎
And it's so insensitive when you say, oh, it's just a joke. It's still painful to the one being ridiculed!!!That kind of ignorance is pathetic. The ladies on the panel are exactly right, minority's are never fully integrated and that's just a fact. Most Americans can't even tell a Japanese person from a Chinese person the level of ignorance that exists is astounding, It also promotes fear and that is by design.Just one more play from a well thought out playbook!!☻😎",no_hate_speech
The poor lady at the end didn't even get a chance to finish what she was saying,no_hate_speech
It would be so weird if the first person that got the virus wasn’t Chinese.,no_hate_speech
"You don’t want your enemies to hide, let them show their true selves .  This is how u get the racist out in the open in any environment. You will want them in plain sight.  Watch, listen, and defend.",no_hate_speech
Man how this is dated,no_hate_speech
"Honestly I'm sick of western food,if only if the racist people would not go to all Asian restaurants ohhhh I'd be so happy all for me😂✌️",no_hate_speech
"Some people have ready words in their tongue, racism card, terrorist card are being playing all the time. But the fact is if your bad deed effects others no matter what race, color or religion you are,  have to take the blame. This Sars virus was effected people before and wild animal eating were forbid. Still, arrogant chinese people have not listen the alert now all these thousands of people are dying and millions are dying inside. All those dead peoples family should claim compensation from chinese government. At least if I die in corona, I want chinese government to pay a million € to my family. Once government need to pay billions for such , their future future future generations would learn and not do the same mistake again. its not racism its call justification.",no_hate_speech
"Is it just me or every racist person is dumb and racism won’t get rid of the coronavirus from an Asian 

Anyone who was racist are rude and showing there true colors 

Americans say these things while there fighting over fricken toilet paper and Asians are building hospitals to cure the corona 
Gosh this makes my head hurt 
This stuff is hard to watch I didn’t realize how rude Americans were (ofc not all Americans are like this some are very very very nice)",no_hate_speech
"thats true its racism, thats why for tje last days theres no unity talking about these it will not happen!!",no_hate_speech
"It is not racism, if it is racism it would have happened before the outbreak",no_hate_speech
Why punch and kick them if they could run away.,no_hate_speech
I agree the Chinese people are not the virus but the “Chinese government is the virus”,no_hate_speech
Every race has faced racism and will face racism sometime in life. It's human nature to turn on those that aren't like them,no_hate_speech
China owns the whole world REPARATIONS!!!,no_hate_speech
I am not a virus!! But I do love my dogs sauteed in butter!!😛😛😛,no_hate_speech
Sadly racist and bigoted people exist all over the world and their just using this virus to bully others.                                                                                                                                                       Low intelligence and lack of empathy is a big factor in this kind of behavior.,no_hate_speech
"That was one long leave asian or chinese people, and go mess with the non model Americans. As your honorary whites we are supprised.",no_hate_speech
Not all Asian are Chinese. That's what these ignorant people need to know...,no_hate_speech
That's just human nature. If they know something bad coming from a group of people they're gonna act harsh towards that group of people out of fear and ignorance period. It doesn't always have anything to do with racism but in most cases it does.,no_hate_speech
Oh well it happens to black people more and worse.,no_hate_speech
My homie ppl got pack out to death just because they thought he was Chinese to some others Please look up the difference between Southeast Asia and East Asia culture and looks defines we in our own culture have Raices system in our own if u dnt have that light skin Asian look than u would look under upon also.,no_hate_speech
Racial discrimination is always and forever anywhere in the world.,no_hate_speech
"I find these conversations  this group of asians discussing racism, in trems of being self centered ..im disturbed that none of them brought up the same racist attacks targeted at Hispanics and more so Mexican immigrants and American Mexicans,  during trump's racist go back to your country policy,  When in fact this Hispanics are actually indigenous to all the American land..Asian people aswell as Asian politicians have been mostly silent , example lobor secretary Chinese immigrant completely silent on immigrants,  children being put in cages,  separated from parents,  American Mexicans,  Hispanic Americans in general being racially attacked Silent!!!
I find sad and at the same time funny,  that asian people are complaining now that its happening to them...If you dont speak up when it happens to other races You shouldn't complain now...it makes you look self centered....By allowing it to happen to others its bound to happen to you....Treat others how you want to be treated!!!!",no_hate_speech
How a month later the virus has taken over....the number of affected people in these countries has skyrocketed,no_hate_speech
"The only people who care about racism is America because they accept all cultures and races, the rest of the world could care less if someone thinks there racist. Most countries barely accept any race or religion but there own! It isn’t even Americans that are hurting these Asians there not even white and some don’t even speak English quit blaming America for everything Al Jazeera!",no_hate_speech
So sad..,no_hate_speech
it's not racism more like hate for the damage they have done.,no_hate_speech
You’re got Coronavirus not from Asian people . You’re got sick because you’re all not protected your self. Please don’t complain to Asian people. Remember when black peoples got Ebola no one said anything and a lot of Chinese doctors went to helps. Before your look down on Asian people you’re all should remember the past. Thank all.!,no_hate_speech
Racism is NOT HIDDEN,no_hate_speech
"Donald Trump has it right why do companies place all your  goods / services for products etc made in China  its a larger profit margin now look at the American companies would allow the  Africa / Middle easterners producers of products to gain ownership HALF of the company  and take ownership of patents . China needs to wake up  the restaurants owned by Chinese are in need of major clean up show your support toward sanitation vs profit ?  Globalization answer the question were Chinese silent for  marches for Civil  Rights O ' MIA  Anti  Black & Whites and Spanish  and to say they don't need Blacks America They Go to African American University. They flee China because of there policies  and getting position where black student  don't get  accepted. look at the Banks,  Shopping Centers , around the world for brands they got Rich because of US .
How many Black for Education. were denied.......................Go to the social security office , they do seek public assistance,  they seek out our .help in every thing they do ............Model minority they are bias and they stay put within and think their better because they .do not need help bullshit this notion of All Cash its because we gave them the political force  and jobs for making products   cheaper and ...................Asian do not  help in problems  they copy the don't respect patents they simply take and they are just not that innocent . how do you make a product in China sell it at a larger margin and cheaper quality look Banana Republic vs Old Navy etc............. they got there means of support for loss of job to American.   they are buying guns to via protect them from others Who......stick and stones can break our bones words  we lived with this all our lives ..................guns are not the  solution . Share the means they are living a false hood  of deception
We Buy your goods..........Blacks,  Whites, Hispanic,  the virus is a wake call  Wake up America and why are some countries getting hit the larger out breaks the Chinese  playing this denial Game stop eating  Bats and other species of animals ......that need to be globally tested for consumption. a world wide approval. And talk about global warming   green house gas etc.. Virus yes it originated there",no_hate_speech
"Please china change your food habits,we are tired of getting blamed coz of you people.. a northeast guy from India",no_hate_speech
WITHOUT TRUMP THESE PEOPLE WOULD BE RACIST,no_hate_speech
"Most of the 'Covid-19' racism in the U.S. is perpetrated by Blacks, against Asians.  Nothing new there...",no_hate_speech
"I am of Japanese decent, was born in New York state, and grew up in a New Jersey suburb of Philadelphia. The public schools I attended were 98% white. I was probably the only Asian in my entire high school graduating class of 350 (1980). I was also Class President, runner-up to be the Home Coming King (the star football quarterback ultimately won), and was selected by faculty to be the representative to the local Rotary Club as well as to Boys State. 


The point is that during my entire school career up to (and through) college, I have never had any serious negative experience with racism, prejudice, or discrimination: at least none that I was made aware of. Quite the opposite, I think I did quite well in retrospect. Conclusion? I do not think people are inherently racist. 


But people do have a natural tendency to discriminate (both positively and negatively). It's why we have eyes and sensory systems. There is an important distinction between racism and natural discrimination. In wildlife, the ability of say a gazelle to discriminate instantly between a lion and a zebra is the difference between life and death. It's because of this natural tendency that we, as supposed civilized humans, are taught not to judge books by their covers. Because civilized humans don't usually experience instant life threatening situations and because we don't want to upset the zebra that was mistaken for a lion.


But unfortunately, going beyond the cover and making proper judgments requires time and effort that not all of us have. It requires knowledge that we don't always possess. So left to our own devices, we often rely on our initial senses to discriminate between danger and safety. Knowledgeable leaders should be playing a much larger role here if discrimination - making distinctions - is resulting in erroneous conclusions. They should not be fanning the flames as Trump appears to be doing.


Of course, if we were all lions and tigers, there would be less need to discriminate. But more often than not, we're only gazelles.",no_hate_speech
Media fuels racism turning people against each just for sensationalism,no_hate_speech
"The Chinese govt is considering taking meat from domestic animals off menus across the country, raising concerns among dog farmers.
The proposal to ban dog and cat meat has drawn an angry outcry from regions where the dish is popular. Opponents say the ban would destroy local culinary traditions.",no_hate_speech
The media is also responsible for hyping up racism.  Most of the videos of attacks against Asians are in liberal cities and coming from black males. No shocker there.  There has been a deep resentment from the black community against all Asians that is never talked about. But look at the crime statistics. Whites or any other race is not out attacking Asians.,no_hate_speech
"Chinese need to be more cognisant of their own racism.  Their prejudices towards Blacks, other ethnic Chinese inside China and some towards Whites if they aren’t in fact admiring them and social status. I myself am Black and Chinese.  I’ve dealt with this my entire life.  And sure.., we can point to causes.  But we can also do more to resolve these issues of racism.  Chinese need to find some empathy.  I realize their are strong underlying reasons (i.e. the aberrant attack on the elderly chinese man in the hood, in San Francisco recently.) for the current hatred but we can and should all do better! ✌🏾✌️",no_hate_speech
"Y’all been lumping Africans and African Americans together for centuries, now it’s a problem.",no_hate_speech
Al jazzera playing in hand of china no matter what al jazeera do they can't twist facts.,no_hate_speech
Chinese political hopeful in Canada posted on Chinese chat sites not to vote for opponent because he is indian!!!! Nothing about his political ideology merely note to vote for him because he is indian!!!!! Why complain when you Chinese mainly getting what they dish out in massive doses. Taste of your own medicine Chinese and enjoy the feeling of it!!!!!,no_hate_speech
😢😢😢🍵🍵🍵,no_hate_speech
People are this ignorant and racist??  I really lost faith in humanity.,no_hate_speech
"Fear bypasses everything. When the Coronavirus broke out in China, everyone thought it would go away. But it didn't so everybody associated it with it's beginning in China.",no_hate_speech
Sorry it can from you !!!!!,no_hate_speech
This pandemic caused by dishonest Chinese government !!  Period <<<,no_hate_speech
Trump is the real virus of humanity,no_hate_speech
